epoch accuracy precision recall F1-score       0       1       2       3       4       0       1       2       3       4       0       1       2       3       4
   86   94.087    94.605 93.923   94.068 100.000  98.684  95.455  82.418  96.471  91.026  94.937  87.500  96.154 100.000  95.302  96.774  91.304  88.757  98.204
   87   94.344    94.747 94.180   94.317  96.053  98.684  98.438  84.091  96.471  93.590  94.937  87.500  94.872 100.000  94.805  96.774  92.647  89.157  98.204
   88   94.344    94.382 94.262   94.298  93.421  96.250  95.652  89.024  97.561  91.026  97.468  91.667  93.590  97.561  92.208  96.855  93.617  91.250  97.561
   89   94.087    94.116 93.993   94.035  92.405  95.062  97.059  88.462  97.590  93.590  97.468  91.667  88.462  98.780  92.994  96.250  94.286  88.462  98.182
   90   95.373    95.726 95.223   95.348  96.104  98.701 100.000  86.207  97.619  94.872  96.203  88.889  96.154 100.000  95.484  97.436  94.118  90.909  98.795
   91   94.344    94.634 94.210   94.307  95.946  97.436  96.970  85.227  97.590  91.026  96.203  88.889  96.154  98.780  93.421  96.815  92.754  90.361  98.182
   92   95.373    95.763 95.248   95.355  97.297  98.684  98.485  85.556  98.795  92.308  94.937  90.278  98.718 100.000  94.737  96.774  94.203  91.667  99.394
   93   95.373    95.820 95.227   95.372  97.403 100.000 100.000  85.227  96.471  96.154  94.937  88.889  96.154 100.000  96.774  97.403  94.118  90.361  98.204
   94   95.373    95.662 95.245   95.340  97.297  98.701  98.485  87.356  96.471  92.308  96.203  90.278  97.436 100.000  94.737  97.436  94.203  92.121  98.204
   95   94.859    95.233 94.735   94.856  97.297  98.684  98.485  85.227  96.471  92.308  94.937  90.278  96.154 100.000  94.737  96.774  94.203  90.361  98.204
   96   95.630    95.893 95.498   95.569  98.611  98.718  97.015  87.500  97.619  91.026  97.468  90.278  98.718 100.000  94.667  98.089  93.525  92.771  98.795
   97   95.630    95.648 95.495   95.538  96.053  98.734  95.588  90.244  97.619  93.590  98.734  90.278  94.872 100.000  94.805  98.734  92.857  92.500  98.795
   98   95.373    95.666 95.263   95.350 100.000 100.000  95.652  86.207  96.471  91.026  97.468  91.667  96.154 100.000  95.302  98.718  93.617  90.909  98.204
   99   94.859    95.296 94.686   94.809  97.260  98.718  98.438  84.444  97.619  91.026  97.468  87.500  97.436 100.000  94.040  98.089  92.647  90.476  98.795
  100   94.344    94.717 94.152   94.275  97.297  97.468  98.413  85.057  95.349  92.308  97.468  86.111  94.872 100.000  94.737  97.468  91.852  89.697  97.619
  101   94.859    95.309 94.665   94.807 100.000  98.718  96.875  83.333  97.619  93.590  97.468  86.111  96.154 100.000  96.689  98.089  91.176  89.286  98.795
  102   94.859    95.129 94.720   94.829  97.333 100.000  96.970  86.047  95.294  93.590  97.468  88.889  94.872  98.780  95.425  98.718  92.754  90.244  97.006
  103   94.602    94.942 94.451   94.584  98.649  98.718  98.462  86.747  92.135  93.590  97.468  88.889  92.308 100.000  96.053  98.089  93.431  89.441  95.906
  104   94.859    95.545 94.689   94.858  98.611  98.701 100.000  82.796  97.619  91.026  96.203  87.500  98.718 100.000  94.667  97.436  93.333  90.058  98.795
  105   95.630    95.747 95.519   95.586  97.333  98.718  97.059  89.157  96.471  93.590  97.468  91.667  94.872 100.000  95.425  98.089  94.286  91.925  98.204
  106   94.859    94.783 94.771   94.769  96.053  98.718  91.781  89.744  97.619  93.590  97.468  93.056  89.744 100.000  94.805  98.089  92.414  89.744  98.795
  107   94.344    94.527 94.235   94.319  96.053  98.684  95.588  85.882  96.429  93.590  94.937  90.278  93.590  98.780  94.805  96.774  92.857  89.571  97.590
  108   93.830    94.035 93.743   93.812  95.890  98.684  94.286  84.884  96.429  89.744  94.937  91.667  93.590  98.780  92.715  96.774  92.958  89.024  97.590
